TRANS_ID,PHASE_ID,STAGE_NAME,TYPE_NAME,TYPE_COLOR,SIZE_ID,SIZE_NAME,PROJECT_NAME,PROJECT_NAME_IN_CIRCLE,STATUS_COMP_TO_PB,PLANNED_DT_NEXT_MSTONE
1,5,Pilot / Execute,Power Generation,#a4c68b,3,> 100 - 600 km3/d,Saih Rawl F9E Combined Cycle Power Station ,Saih Rawl F9E C,On-schedule,Q1-2020
2,5,Pilot / Execute,Power Generation,#a4c68b,3,> 100 - 600 km3/d,LEKHWAIR 6FA COMBINED CYCLE POWER STATION PROJECT,LEKHWAIR 6FA CO,Delayed,Q1-2020
3,5,Pilot / Execute,Power Generation,#a4c68b,3,> 100 - 600 km3/d,Haima West - CCGT Power Plant Conversion,Haima West - CC,Delayed,Q2-2021
4,5,Pilot / Execute,Power Generation,#a4c68b,3,> 100 - 600 km3/d,Spinning reserve sharing with OETC,Spinning reserv,On-schedule,Q2-2023
5,5,Pilot / Execute,Power Generation,#a4c68b,3,> 100 - 600 km3/d,Qarn Alam 5th F9E power plant,Qarn Alam 5th F,On-schedule,Q1-2023
6,6,On- Stream,Renewable Energy,#33FF46,2,> 50 - 100 km3/d,Deployment of Solar Steam Generator (Miraah) PH-2,Deployment of S,Delivered,
7,5,Pilot / Execute,Renewable Energy,#33FF46,3,> 100 - 600 km3/d,Amin 100 MW Solar IPP,Amin 100 MW Sol,On-schedule,Q2-2020 
8,5,Pilot / Execute,Renewable Energy,#33FF46,1,1 - 50 km3/d,MAF solar car park phase 2,MAF solar car p,On-schedule,Q4-2020 
9,3,Feasibilities Studies,Renewable Energy,#33FF46,1,1 - 50 km3/d,Offgrid BESS wells pilot Solar plus storage/ hybrid for remote ESP wells,Offgrid BESS we,On-schedule,Q4 2019
10,2,Feasibilities Studies,Renewable Energy,#33FF46,3,> 100 - 600 km3/d,Wind Energy - Feasibility Study,Wind Energy - F,On-schedule,Q3 2020
11,4,Concept / Define,Renewable Energy,#33FF46,1,1 - 50 km3/d,PDO Solar Camps,PDO Solar Camps,On-schedule,Q2 2020
16,6,On- Stream,Energy Efficiency,#f5f5f5,1,1 - 50 km3/d,KGP Hydrocarbon Conservation ,KGP Hydrocarbon,Delivered,Not applicable 
17,5,Pilot / Execute,Energy Efficiency,#f5f5f5,1,1 - 50 km3/d,SNGP Hydrocarbon Conservation ,SNGP Hydrocarbo,Delayed,
18,6,On- Stream,Energy Efficiency,#f5f5f5,3,> 100 - 600 km3/d,Nimr Wetlands Phase 3,Nimr Wetlands P,Delivered,
26,1,Feasibilities Studies,Energy Efficiency,#f5f5f5,1,1 - 50 km3/d,MARMUL REEDBED MODIFICATION,MARMUL REEDBED ,On-schedule,0
27,4,Concept / Define,Energy Efficiency,#f5f5f5,1,1 - 50 km3/d,Lek. GL conversion to ESP phase 1 (16 wells),Lek. GL convers,Delayed,Q1-2020
28,4,Concept / Define,Energy Efficiency,#f5f5f5,1,1 - 50 km3/d,Lek. GL conversion to ESP phase 2 (15 wells),Lek. GL convers,Delayed,Q1-2021
